Pretty Formula,A,B
AlS,Al1+,S1-
AlS,Al2+,S2-
AlCl,Al1+,Cl1-
AlV,Al1+,V1-
AlCr,Al1+,Cr1-
AlCr,Al2+,Cr2-
AlFe,Al1+,Fe1-
AlFe,Al2+,Fe2-
AlCo,Al1+,Co1-
AlNi,Al1+,Ni1-
AlGe,Al1+,Ge1-
AlGe,Al2+,Ge2-
AlGe,Al3+,Ge3-
AlAs,Al3+,As3-
AlSe,Al2+,Se2-
AlBr,Al1+,Br1-
AlMo,Al1+,Mo1-
AlMo,Al2+,Mo2-
AlRu,Al2+,Ru2-
AlRh,Al1+,Rh1-
AlSb,Al3+,Sb3-
AlTe,Al2+,Te2-
AlI,Al1+,I1-
AlW,Al1+,W1-
AlW,Al2+,W2-
AlRe,Al1+,Re1-
AlRe,Al3+,Re3-
AlOs,Al1+,Os1-
AlOs,Al2+,Os2-
AlIr,Al1+,Ir1-
AlIr,Al3+,Ir3-
AlPt,Al1+,Pt1-
AlPt,Al2+,Pt2-
AlAu,Al1+,Au1-
AlTl,Al1+,Tl1-
AlBi,Al3+,Bi3-
SiH,Si1+,H1-
SiC,Si1+,C1-
SiC,Si2+,C2-
SiC,Si3+,C3-
SiC,Si4+,C4-
SiN,Si1+,N1-
SiN,Si2+,N2-
SiN,Si3+,N3-
SiO,Si1+,O1-
SiO,Si2+,O2-
SiF,Si1+,F1-
SiP,Si1+,P1-
SiP,Si2+,P2-
SiP,Si3+,P3-
SiS,Si1+,S1-
SiS,Si2+,S2-
SiCl,Si1+,Cl1-
SiNi,Si1+,Ni1-
SiGe,Si1+,Ge1-
SiGe,Si2+,Ge2-
SiGe,Si3+,Ge3-
SiGe,Si4+,Ge4-
SiAs,Si3+,As3-
SiSe,Si2+,Se2-
SiBr,Si1+,Br1-
SiMo,Si1+,Mo1-
SiMo,Si2+,Mo2-
SiRu,Si2+,Ru2-
SiRh,Si1+,Rh1-
SiSn,Si4+,Sn4-
SiSb,Si3+,Sb3-
SiTe,Si2+,Te2-
SiI,Si1+,I1-
SiOs,Si1+,Os1-
SiOs,Si2+,Os2-
SiIr,Si1+,Ir1-
SiIr,Si3+,Ir3-
SiPt,Si1+,Pt1-
SiPt,Si2+,Pt2-
SiAu,Si1+,Au1-
PH,P1+,H1-
PC,P1+,C1-
PC,P2+,C2-
PC,P3+,C3-
PC,P4+,C4-
PN,P1+,N1-
PN,P2+,N2-
PN,P3+,N3-
PO,P1+,O1-
PO,P2+,O2-
PF,P1+,F1-
PS,P1+,S1-
PS,P2+,S2-
PCl,P1+,Cl1-
PSe,P2+,Se2-
PBr,P1+,Br1-
PRu,P2+,Ru2-
PRh,P1+,Rh1-
PI,P1+,I1-
POs,P1+,Os1-
POs,P2+,Os2-
PIr,P1+,Ir1-
PIr,P3+,Ir3-
PPt,P1+,Pt1-
PPt,P2+,Pt2-
PAu,P1+,Au1-
SN,S1+,N1-
SN,S2+,N2-
SN,S3+,N3-
SO,S1+,O1-
SO,S2+,O2-
SF,S1+,F1-
SCl,S1+,Cl1-
SBr,S1+,Br1-
SI,S1+,I1-
ClO,Cl1+,O1-
ClO,Cl2+,O2-
ClF,Cl1+,F1-
KH,K1+,H1-
KC,K1+,C1-
KN,K1+,N1-
K2O2,K1+,O1-
KF,K1+,F1-
KNa,K1+,Na1-
KSi,K1+,Si1-
KP,K1+,P1-
KS,K1+,S1-
KCl,K1+,Cl1-
KTi,K1+,Ti1-
KV,K1+,V1-
KCr,K1+,Cr1-
KMn,K1+,Mn1-
KFe,K1+,Fe1-
KCo,K1+,Co1-
KNi,K1+,Ni1-
KGe,K1+,Ge1-
