Pretty Formula,A,B
GaCo,Ga1+,Co1-
GaNi,Ga1+,Ni1-
GaGe,Ga1+,Ge1-
GaGe,Ga2+,Ge2-
GaGe,Ga3+,Ge3-
GaAs,Ga3+,As3-
GaSe,Ga2+,Se2-
GaBr,Ga1+,Br1-
GaMo,Ga1+,Mo1-
GaMo,Ga2+,Mo2-
GaRu,Ga2+,Ru2-
GaRh,Ga1+,Rh1-
GaSb,Ga3+,Sb3-
GaTe,Ga2+,Te2-
GaI,Ga1+,I1-
GaRe,Ga1+,Re1-
GaRe,Ga3+,Re3-
GaOs,Ga1+,Os1-
GaOs,Ga2+,Os2-
GaIr,Ga1+,Ir1-
GaIr,Ga3+,Ir3-
GaPt,Ga1+,Pt1-
GaPt,Ga2+,Pt2-
GaAu,Ga1+,Au1-
GaBi,Ga3+,Bi3-
GeH,Ge1+,H1-
GeC,Ge1+,C1-
GeC,Ge2+,C2-
GeC,Ge3+,C3-
GeC,Ge4+,C4-
GeN,Ge1+,N1-
GeN,Ge2+,N2-
GeN,Ge3+,N3-
GeO,Ge1+,O1-
GeO,Ge2+,O2-
GeF,Ge1+,F1-
GeP,Ge1+,P1-
GeP,Ge2+,P2-
GeP,Ge3+,P3-
GeS,Ge1+,S1-
GeS,Ge2+,S2-
GeCl,Ge1+,Cl1-
GeAs,Ge3+,As3-
GeSe,Ge2+,Se2-
GeBr,Ge1+,Br1-
GeMo,Ge1+,Mo1-
GeMo,Ge2+,Mo2-
GeRu,Ge2+,Ru2-
GeRh,Ge1+,Rh1-
GeSb,Ge3+,Sb3-
GeTe,Ge2+,Te2-
GeI,Ge1+,I1-
GeOs,Ge1+,Os1-
GeOs,Ge2+,Os2-
GeIr,Ge1+,Ir1-
GeIr,Ge3+,Ir3-
GePt,Ge1+,Pt1-
GePt,Ge2+,Pt2-
GeAu,Ge1+,Au1-
AsH,As1+,H1-
AsC,As1+,C1-
AsC,As2+,C2-
AsC,As3+,C3-
AsN,As1+,N1-
AsN,As2+,N2-
AsN,As3+,N3-
AsO,As1+,O1-
AsO,As2+,O2-
AsF,As1+,F1-
AsP,As1+,P1-
AsP,As2+,P2-
AsP,As3+,P3-
AsS,As1+,S1-
AsS,As2+,S2-
AsCl,As1+,Cl1-
AsSe,As2+,Se2-
AsBr,As1+,Br1-
AsRu,As2+,Ru2-
AsRh,As1+,Rh1-
AsI,As1+,I1-
AsOs,As1+,Os1-
AsOs,As2+,Os2-
AsIr,As1+,Ir1-
AsIr,As3+,Ir3-
AsPt,As1+,Pt1-
AsPt,As2+,Pt2-
AsAu,As1+,Au1-
SeN,Se1+,N1-
SeN,Se2+,N2-
SeO,Se1+,O1-
SeO,Se2+,O2-
SeF,Se1+,F1-
SeS,Se1+,S1-
SeS,Se2+,S2-
SeCl,Se1+,Cl1-
SeBr,Se1+,Br1-
SeI,Se1+,I1-
BrN,Br1+,N1-
BrN,Br2+,N2-
BrN,Br3+,N3-
BrO,Br1+,O1-
BrO,Br2+,O2-
BrF,Br1+,F1-
BrCl,Br1+,Cl1-
RbH,Rb1+,H1-
RbC,Rb1+,C1-
RbN,Rb1+,N1-
Rb2O2,Rb1+,O1-
RbF,Rb1+,F1-
RbNa,Rb1+,Na1-
RbSi,Rb1+,Si1-
RbP,Rb1+,P1-
RbS,Rb1+,S1-
RbCl,Rb1+,Cl1-
RbTi,Rb1+,Ti1-
RbV,Rb1+,V1-
RbCr,Rb1+,Cr1-
RbMn,Rb1+,Mn1-
RbFe,Rb1+,Fe1-
RbCo,Rb1+,Co1-
RbNi,Rb1+,Ni1-
RbGe,Rb1+,Ge1-
RbBr,Rb1+,Br1-
RbNb,Rb1+,Nb1-
RbMo,Rb1+,Mo1-
RbRh,Rb1+,Rh1-
RbI,Rb1+,I1-
RbTa,Rb1+,Ta1-
RbW,Rb1+,W1-
RbRe,Rb1+,Re1-
RbOs,Rb1+,Os1-
RbIr,Rb1+,Ir1-
RbPt,Rb1+,Pt1-
RbAu,Rb1+,Au1-
RbTl,Rb1+,Tl1-
SrH,Sr1+,H1-
SrC,Sr1+,C1-
SrC,Sr2+,C2-
SrN,Sr1+,N1-
SrN,Sr2+,N2-
SrO,Sr1+,O1-
SrO,Sr2+,O2-
SrF,Sr1+,F1-
SrSi,Sr1+,Si1-
SrSi,Sr2+,Si2-
SrP,Sr1+,P1-
SrP,Sr2+,P2-
SrS,Sr1+,S1-
SrS,Sr2+,S2-
SrCl,Sr1+,Cl1-
SrTi,Sr1+,Ti1-
SrV,Sr1+,V1-
SrCr,Sr1+,Cr1-
SrCr,Sr2+,Cr2-
SrMn,Sr1+,Mn1-
SrMn,Sr2+,Mn2-
SrFe,Sr1+,Fe1-
SrFe,Sr2+,Fe2-
SrCo,Sr1+,Co1-
SrNi,Sr1+,Ni1-
SrGe,Sr1+,Ge1-
SrGe,Sr2+,Ge2-
SrSe,Sr2+,Se2-
SrBr,Sr1+,Br1-
SrNb,Sr1+,Nb1-
SrMo,Sr1+,Mo1-
SrMo,Sr2+,Mo2-
SrRu,Sr2+,Ru2-
SrRh,Sr1+,Rh1-
SrTe,Sr2+,Te2-
SrI,Sr1+,I1-
SrTa,Sr1+,Ta1-
SrW,Sr1+,W1-
SrW,Sr2+,W2-
SrRe,Sr1+,Re1-
SrOs,Sr1+,Os1-
SrOs,Sr2+,Os2-
SrIr,Sr1+,Ir1-
SrPt,Sr1+,Pt1-
SrPt,Sr2+,Pt2-
SrAu,Sr1+,Au1-
SrTl,Sr1+,Tl1-
YH,Y1+,H1-
YC,Y1+,C1-
YC,Y2+,C2-
YC,Y3+,C3-
YN,Y1+,N1-
YN,Y2+,N2-
YN,Y3+,N3-
YO,Y1+,O1-
YO,Y2+,O2-
YF,Y1+,F1-
YSi,Y1+,Si1-
YSi,Y2+,Si2-
YSi,Y3+,Si3-
YP,Y1+,P1-
YP,Y2+,P2-
YP,Y3+,P3-
YS,Y1+,S1-
YS,Y2+,S2-
YCl,Y1+,Cl1-
YTi,Y1+,Ti1-
YV,Y1+,V1-
YCr,Y1+,Cr1-
YCr,Y2+,Cr2-
YMn,Y1+,Mn1-
YMn,Y2+,Mn2-
YMn,Y3+,Mn3-
YFe,Y1+,Fe1-
YFe,Y2+,Fe2-
YCo,Y1+,Co1-
YNi,Y1+,Ni1-
YGe,Y1+,Ge1-
YGe,Y2+,Ge2-
YGe,Y3+,Ge3-
YAs,Y3+,As3-
YSe,Y2+,Se2-
YBr,Y1+,Br1-
YNb,Y1+,Nb1-
YMo,Y1+,Mo1-
YMo,Y2+,Mo2-
YRu,Y2+,Ru2-
YRh,Y1+,Rh1-
YSb,Y3+,Sb3-
YTe,Y2+,Te2-
YI,Y1+,I1-
YTa,Y1+,Ta1-
YW,Y1+,W1-
YW,Y2+,W2-
YRe,Y1+,Re1-
YRe,Y3+,Re3-
YOs,Y1+,Os1-
YOs,Y2+,Os2-
YIr,Y1+,Ir1-
YIr,Y3+,Ir3-
YPt,Y1+,Pt1-
YPt,Y2+,Pt2-
YAu,Y1+,Au1-
YTl,Y1+,Tl1-
YBi,Y3+,Bi3-
ZrH,Zr1+,H1-
ZrC,Zr1+,C1-
ZrC,Zr2+,C2-
ZrC,Zr3+,C3-
ZrC,Zr4+,C4-
ZrN,Zr1+,N1-
ZrN,Zr2+,N2-
ZrN,Zr3+,N3-
ZrO,Zr1+,O1-
ZrO,Zr2+,O2-
ZrF,Zr1+,F1-
NaZr,Zr1+,Na1-
ZrSi,Zr1+,Si1-
ZrSi,Zr2+,Si2-
ZrSi,Zr3+,Si3-
ZrSi,Zr4+,Si4-
ZrP,Zr1+,P1-
ZrP,Zr2+,P2-
ZrP,Zr3+,P3-
ZrS,Zr1+,S1-
ZrS,Zr2+,S2-
ZrCl,Zr1+,Cl1-
KZr,Zr1+,K1-
ZrTi,Zr1+,Ti1-
ZrV,Zr1+,V1-
ZrCr,Zr1+,Cr1-
ZrCr,Zr2+,Cr2-
ZrMn,Zr1+,Mn1-
ZrMn,Zr2+,Mn2-
ZrMn,Zr3+,Mn3-
ZrFe,Zr1+,Fe1-
ZrFe,Zr2+,Fe2-
ZrCo,Zr1+,Co1-
ZrNi,Zr1+,Ni1-
ZrGe,Zr1+,Ge1-
ZrGe,Zr2+,Ge2-
ZrGe,Zr3+,Ge3-
ZrGe,Zr4+,Ge4-
ZrAs,Zr3+,As3-
ZrSe,Zr2+,Se2-
ZrBr,Zr1+,Br1-
RbZr,Zr1+,Rb1-
ZrNb,Zr1+,Nb1-
ZrMo,Zr1+,Mo1-
ZrMo,Zr2+,Mo2-
ZrRu,Zr2+,Ru2-
ZrRh,Zr1+,Rh1-
ZrSn,Zr4+,Sn4-
ZrSb,Zr3+,Sb3-
ZrTe,Zr2+,Te2-
ZrI,Zr1+,I1-
CsZr,Zr1+,Cs1-
ZrTa,Zr1+,Ta1-
ZrW,Zr1+,W1-
ZrW,Zr2+,W2-
ZrRe,Zr1+,Re1-
ZrRe,Zr3+,Re3-
ZrOs,Zr1+,Os1-
ZrOs,Zr2+,Os2-
ZrIr,Zr1+,Ir1-
ZrIr,Zr3+,Ir3-
ZrPt,Zr1+,Pt1-
ZrPt,Zr2+,Pt2-
ZrAu,Zr1+,Au1-
ZrTl,Zr1+,Tl1-
ZrPb,Zr4+,Pb4-
ZrBi,Zr3+,Bi3-
NbH,Nb1+,H1-
NbC,Nb1+,C1-
NbC,Nb2+,C2-
NbC,Nb3+,C3-
NbC,Nb4+,C4-
NbN,Nb1+,N1-
NbN,Nb2+,N2-
NbN,Nb3+,N3-
NbO,Nb1+,O1-
NbO,Nb2+,O2-
NbF,Nb1+,F1-
NbSi,Nb1+,Si1-
NbSi,Nb2+,Si2-
NbSi,Nb3+,Si3-
NbSi,Nb4+,Si4-
NbP,Nb1+,P1-
NbP,Nb2+,P2-
NbP,Nb3+,P3-
NbS,Nb1+,S1-
NbS,Nb2+,S2-
NbCl,Nb1+,Cl1-
NbV,Nb1+,V1-
NbCr,Nb1+,Cr1-
NbCr,Nb2+,Cr2-
NbFe,Nb1+,Fe1-
NbFe,Nb2+,Fe2-
NbCo,Nb1+,Co1-
NbNi,Nb1+,Ni1-
NbGe,Nb1+,Ge1-
NbGe,Nb2+,Ge2-
NbGe,Nb3+,Ge3-
NbGe,Nb4+,Ge4-
NbAs,Nb3+,As3-
NbSe,Nb2+,Se2-
NbBr,Nb1+,Br1-
NbMo,Nb1+,Mo1-
NbMo,Nb2+,Mo2-
NbRu,Nb2+,Ru2-
NbRh,Nb1+,Rh1-
NbSn,Nb4+,Sn4-
NbSb,Nb3+,Sb3-
NbTe,Nb2+,Te2-
NbI,Nb1+,I1-
NbW,Nb1+,W1-
NbW,Nb2+,W2-
NbRe,Nb1+,Re1-
NbRe,Nb3+,Re3-
NbOs,Nb1+,Os1-
NbOs,Nb2+,Os2-
NbIr,Nb1+,Ir1-
NbIr,Nb3+,Ir3-
NbPt,Nb1+,Pt1-
NbPt,Nb2+,Pt2-
NbAu,Nb1+,Au1-
NbTl,Nb1+,Tl1-
NbPb,Nb4+,Pb4-
NbBi,Nb3+,Bi3-
MoH,Mo1+,H1-
MoC,Mo1+,C1-
MoC,Mo2+,C2-
MoC,Mo3+,C3-
MoC,Mo4+,C4-
MoN,Mo1+,N1-
MoN,Mo2+,N2-
MoN,Mo3+,N3-
MoO,Mo1+,O1-
MoO,Mo2+,O2-
MoF,Mo1+,F1-
MoP,Mo1+,P1-
MoP,Mo2+,P2-
MoP,Mo3+,P3-
MoS,Mo1+,S1-
MoS,Mo2+,S2-
MoCl,Mo1+,Cl1-
MoAs,Mo3+,As3-
MoSe,Mo2+,Se2-
MoBr,Mo1+,Br1-
MoRu,Mo2+,Ru2-
MoRh,Mo1+,Rh1-
MoI,Mo1+,I1-
MoOs,Mo1+,Os1-
MoOs,Mo2+,Os2-
MoIr,Mo1+,Ir1-
MoIr,Mo3+,Ir3-
MoPt,Mo1+,Pt1-
MoPt,Mo2+,Pt2-
MoAu,Mo1+,Au1-
RuC,Ru1+,C1-
RuC,Ru2+,C2-
RuC,Ru3+,C3-
RuC,Ru4+,C4-
RuN,Ru1+,N1-
RuN,Ru2+,N2-
RuN,Ru3+,N3-
RuO,Ru1+,O1-
RuO,Ru2+,O2-
RuF,Ru1+,F1-
RuS,Ru1+,S1-
RuS,Ru2+,S2-
RuCl,Ru1+,Cl1-
RuSe,Ru2+,Se2-
RuBr,Ru1+,Br1-
RuRh,Ru1+,Rh1-
RuI,Ru1+,I1-
RuAu,Ru1+,Au1-
RhC,Rh1+,C1-
RhC,Rh2+,C2-
RhC,Rh3+,C3-
RhC,Rh4+,C4-
RhN,Rh1+,N1-
RhN,Rh2+,N2-
RhN,Rh3+,N3-
RhO,Rh1+,O1-
RhO,Rh2+,O2-
RhF,Rh1+,F1-
RhS,Rh1+,S1-
RhS,Rh2+,S2-
RhCl,Rh1+,Cl1-
RhSe,Rh2+,Se2-
RhBr,Rh1+,Br1-
RhI,Rh1+,I1-
RhAu,Rh1+,Au1-
PdC,Pd1+,C1-
PdC,Pd2+,C2-
PdC,Pd4+,C4-
PdN,Pd1+,N1-
PdN,Pd2+,N2-
PdO,Pd1+,O1-
PdO,Pd2+,O2-
PdF,Pd1+,F1-
PdS,Pd1+,S1-
PdS,Pd2+,S2-
PdCl,Pd1+,Cl1-
PdSe,Pd2+,Se2-
PdBr,Pd1+,Br1-
PdRh,Pd1+,Rh1-
PdI,Pd1+,I1-
PdAu,Pd1+,Au1-
AgH,Ag1+,H1-
AgC,Ag1+,C1-
AgC,Ag2+,C2-
AgC,Ag3+,C3-
AgC,Ag4+,C4-
AgN,Ag1+,N1-
AgN,Ag2+,N2-
AgN,Ag3+,N3-
AgO,Ag1+,O1-
AgO,Ag2+,O2-
AgF,Ag1+,F1-
AgP,Ag1+,P1-
AgP,Ag2+,P2-
AgP,Ag3+,P3-
AgS,Ag1+,S1-
AgS,Ag2+,S2-
AgCl,Ag1+,Cl1-
AgGe,Ag1+,Ge1-
AgGe,Ag2+,Ge2-
AgGe,Ag3+,Ge3-
AgGe,Ag4+,Ge4-
AgAs,Ag3+,As3-
AgSe,Ag2+,Se2-
AgBr,Ag1+,Br1-
AgMo,Ag1+,Mo1-
AgMo,Ag2+,Mo2-
AgRu,Ag2+,Ru2-
AgRh,Ag1+,Rh1-
AgSn,Ag4+,Sn4-
AgSb,Ag3+,Sb3-
AgTe,Ag2+,Te2-
AgI,Ag1+,I1-
AgOs,Ag1+,Os1-
AgOs,Ag2+,Os2-
AgIr,Ag1+,Ir1-
AgIr,Ag3+,Ir3-
AgPt,Ag1+,Pt1-
AgPt,Ag2+,Pt2-
AgAu,Ag1+,Au1-
CdH,Cd1+,H1-
CdC,Cd1+,C1-
CdC,Cd2+,C2-
CdN,Cd1+,N1-
CdN,Cd2+,N2-
CdO,Cd1+,O1-
CdO,Cd2+,O2-
CdF,Cd1+,F1-
CdSi,Cd1+,Si1-
CdSi,Cd2+,Si2-
CdP,Cd1+,P1-
CdP,Cd2+,P2-
CdS,Cd1+,S1-
CdS,Cd2+,S2-
CdCl,Cd1+,Cl1-
CdFe,Cd1+,Fe1-
CdFe,Cd2+,Fe2-
CdCo,Cd1+,Co1-
CdNi,Cd1+,Ni1-
CdGe,Cd1+,Ge1-
CdGe,Cd2+,Ge2-
CdSe,Cd2+,Se2-
CdBr,Cd1+,Br1-
CdMo,Cd1+,Mo1-
CdMo,Cd2+,Mo2-
CdRu,Cd2+,Ru2-
CdRh,Cd1+,Rh1-
CdTe,Cd2+,Te2-
CdI,Cd1+,I1-
CdW,Cd1+,W1-
CdW,Cd2+,W2-
CdRe,Cd1+,Re1-
CdOs,Cd1+,Os1-
CdOs,Cd2+,Os2-
CdIr,Cd1+,Ir1-
CdPt,Cd1+,Pt1-
CdPt,Cd2+,Pt2-
CdAu,Cd1+,Au1-
TlCd,Cd1+,Tl1-
InH,In1+,H1-
InC,In1+,C1-
InC,In2+,C2-
InC,In3+,C3-
InN,In1+,N1-
InN,In2+,N2-
InN,In3+,N3-
InO,In1+,O1-
InO,In2+,O2-
InF,In1+,F1-
InSi,In1+,Si1-
InSi,In2+,Si2-
InSi,In3+,Si3-
InP,In1+,P1-
InP,In2+,P2-
InP,In3+,P3-
InS,In1+,S1-
InS,In2+,S2-
InCl,In1+,Cl1-
InFe,In1+,Fe1-
InFe,In2+,Fe2-
InCo,In1+,Co1-
InNi,In1+,Ni1-
InGe,In1+,Ge1-
InGe,In2+,Ge2-
InGe,In3+,Ge3-
InAs,In3+,As3-
InSe,In2+,Se2-
InBr,In1+,Br1-
InMo,In1+,Mo1-
InMo,In2+,Mo2-
InRu,In2+,Ru2-
InRh,In1+,Rh1-
InSb,In3+,Sb3-
InTe,In2+,Te2-
InI,In1+,I1-
InRe,In1+,Re1-
InRe,In3+,Re3-
InOs,In1+,Os1-
InOs,In2+,Os2-
InIr,In1+,Ir1-
InIr,In3+,Ir3-
InPt,In1+,Pt1-
InPt,In2+,Pt2-
InAu,In1+,Au1-
TlIn,In1+,Tl1-
InBi,In3+,Bi3-
SnC,Sn2+,C2-
SnC,Sn4+,C4-
SnN,Sn2+,N2-
SnO,Sn2+,O2-
SnP,Sn2+,P2-
SnS,Sn2+,S2-
SnGe,Sn2+,Ge2-
SnGe,Sn4+,Ge4-
SnSe,Sn2+,Se2-
SnMo,Sn2+,Mo2-
SnRu,Sn2+,Ru2-
SnTe,Sn2+,Te2-
SnOs,Sn2+,Os2-
SnPt,Sn2+,Pt2-
SbC,Sb3+,C3-
SbN,Sb3+,N3-
SbP,Sb3+,P3-
SbAs,Sb3+,As3-
SbIr,Sb3+,Ir3-
TeC,Te2+,C2-
TeC,Te4+,C4-
TeN,Te2+,N2-
TeO,Te2+,O2-
TeP,Te2+,P2-
TeS,Te2+,S2-
TeSe,Te2+,Se2-
TeMo,Te2+,Mo2-
TeRu,Te2+,Ru2-
TeOs,Te2+,Os2-
TePt,Te2+,Pt2-
IN,I1+,N1-
IN,I3+,N3-
IO,I1+,O1-
IF,I1+,F1-
ICl,I1+,Cl1-
IBr,I1+,Br1-
CsH,Cs1+,H1-
CsC,Cs1+,C1-
CsN,Cs1+,N1-
Cs2O2,Cs1+,O1-
CsF,Cs1+,F1-
CsNa,Cs1+,Na1-
CsSi,Cs1+,Si1-
CsP,Cs1+,P1-
CsS,Cs1+,S1-
CsCl,Cs1+,Cl1-
CsK,Cs1+,K1-
CsTi,Cs1+,Ti1-
CsV,Cs1+,V1-
CsCr,Cs1+,Cr1-
CsMn,Cs1+,Mn1-
CsFe,Cs1+,Fe1-
CsCo,Cs1+,Co1-
CsNi,Cs1+,Ni1-
CsGe,Cs1+,Ge1-
CsBr,Cs1+,Br1-
CsRb,Cs1+,Rb1-
CsNb,Cs1+,Nb1-
CsMo,Cs1+,Mo1-
CsRh,Cs1+,Rh1-
CsI,Cs1+,I1-
CsTa,Cs1+,Ta1-
CsW,Cs1+,W1-
CsRe,Cs1+,Re1-
CsOs,Cs1+,Os1-
CsIr,Cs1+,Ir1-
CsPt,Cs1+,Pt1-
CsAu,Cs1+,Au1-
CsTl,Cs1+,Tl1-
BaC,Ba2+,C2-
BaN,Ba2+,N2-
BaO,Ba2+,O2-
BaSi,Ba2+,Si2-
BaP,Ba2+,P2-
BaS,Ba2+,S2-
BaCr,Ba2+,Cr2-
BaMn,Ba2+,Mn2-
BaFe,Ba2+,Fe2-
BaGe,Ba2+,Ge2-
BaSe,Ba2+,Se2-
BaMo,Ba2+,Mo2-
BaRu,Ba2+,Ru2-
BaTe,Ba2+,Te2-
BaW,Ba2+,W2-
BaOs,Ba2+,Os2-
BaPt,Ba2+,Pt2-
LaC,La2+,C2-
LaC,La3+,C3-
LaN,La2+,N2-
LaN,La3+,N3-
LaO,La2+,O2-
LaSi,La2+,Si2-
LaSi,La3+,Si3-
LaP,La2+,P2-
LaP,La3+,P3-
LaS,La2+,S2-
LaCr,La2+,Cr2-
LaMn,La2+,Mn2-
LaMn,La3+,Mn3-
LaFe,La2+,Fe2-
LaGe,La2+,Ge2-
LaGe,La3+,Ge3-
LaAs,La3+,As3-
LaSe,La2+,Se2-
LaMo,La2+,Mo2-
LaRu,La2+,Ru2-
LaSb,La3+,Sb3-
LaTe,La2+,Te2-
LaW,La2+,W2-
LaRe,La3+,Re3-
LaOs,La2+,Os2-
LaIr,La3+,Ir3-
LaPt,La2+,Pt2-
LaBi,La3+,Bi3-
CeC,Ce2+,C2-
CeC,Ce3+,C3-
CeC,Ce4+,C4-
CeN,Ce2+,N2-
CeN,Ce3+,N3-
CeO,Ce2+,O2-
CeSi,Ce2+,Si2-
CeSi,Ce3+,Si3-
CeSi,Ce4+,Si4-
CeP,Ce2+,P2-
CeP,Ce3+,P3-
CeS,Ce2+,S2-
CeCr,Ce2+,Cr2-
CeMn,Ce2+,Mn2-
CeMn,Ce3+,Mn3-
CeFe,Ce2+,Fe2-
CeGe,Ce2+,Ge2-
CeGe,Ce3+,Ge3-
CeGe,Ce4+,Ge4-
CeAs,Ce3+,As3-
CeSe,Ce2+,Se2-
CeMo,Ce2+,Mo2-
CeRu,Ce2+,Ru2-
CeSn,Ce4+,Sn4-
CeSb,Ce3+,Sb3-
CeTe,Ce2+,Te2-
CeW,Ce2+,W2-
CeRe,Ce3+,Re3-
CeOs,Ce2+,Os2-
CeIr,Ce3+,Ir3-
CePt,Ce2+,Pt2-
CePb,Ce4+,Pb4-
CeBi,Ce3+,Bi3-
PrC,Pr2+,C2-
PrC,Pr3+,C3-
PrC,Pr4+,C4-
PrN,Pr2+,N2-
PrN,Pr3+,N3-
PrO,Pr2+,O2-
PrSi,Pr2+,Si2-
PrSi,Pr3+,Si3-
PrSi,Pr4+,Si4-
PrP,Pr2+,P2-
PrP,Pr3+,P3-
PrS,Pr2+,S2-
PrCr,Pr2+,Cr2-
PrMn,Pr2+,Mn2-
PrMn,Pr3+,Mn3-
PrFe,Pr2+,Fe2-
PrGe,Pr2+,Ge2-
PrGe,Pr3+,Ge3-
PrGe,Pr4+,Ge4-
PrAs,Pr3+,As3-
PrSe,Pr2+,Se2-
PrMo,Pr2+,Mo2-
PrRu,Pr2+,Ru2-
PrSn,Pr4+,Sn4-
PrSb,Pr3+,Sb3-
PrTe,Pr2+,Te2-
PrW,Pr2+,W2-
PrRe,Pr3+,Re3-
PrOs,Pr2+,Os2-
PrIr,Pr3+,Ir3-
PrPt,Pr2+,Pt2-
PrPb,Pr4+,Pb4-
PrBi,Pr3+,Bi3-
NdC,Nd2+,C2-
NdC,Nd3+,C3-
NdC,Nd4+,C4-
NdN,Nd2+,N2-
NdN,Nd3+,N3-
NdO,Nd2+,O2-
NdSi,Nd2+,Si2-
NdSi,Nd3+,Si3-
NdSi,Nd4+,Si4-
NdP,Nd2+,P2-
NdP,Nd3+,P3-
NdS,Nd2+,S2-
NdCr,Nd2+,Cr2-
NdMn,Nd2+,Mn2-
NdMn,Nd3+,Mn3-
NdFe,Nd2+,Fe2-
NdGe,Nd2+,Ge2-
NdGe,Nd3+,Ge3-
NdGe,Nd4+,Ge4-
NdAs,Nd3+,As3-
NdSe,Nd2+,Se2-
NdMo,Nd2+,Mo2-
NdRu,Nd2+,Ru2-
NdSn,Nd4+,Sn4-
NdSb,Nd3+,Sb3-
NdTe,Nd2+,Te2-
NdW,Nd2+,W2-
NdRe,Nd3+,Re3-
NdOs,Nd2+,Os2-
NdIr,Nd3+,Ir3-
NdPt,Nd2+,Pt2-
NdPb,Nd4+,Pb4-
NdBi,Nd3+,Bi3-
SmC,Sm2+,C2-
SmC,Sm3+,C3-
SmN,Sm2+,N2-
SmN,Sm3+,N3-
SmO,Sm2+,O2-
SmSi,Sm2+,Si2-
SmSi,Sm3+,Si3-
SmP,Sm2+,P2-
SmP,Sm3+,P3-
SmS,Sm2+,S2-
SmCr,Sm2+,Cr2-
SmMn,Sm2+,Mn2-
SmMn,Sm3+,Mn3-
SmFe,Sm2+,Fe2-
SmGe,Sm2+,Ge2-
SmGe,Sm3+,Ge3-
SmAs,Sm3+,As3-
SmSe,Sm2+,Se2-
SmMo,Sm2+,Mo2-
SmRu,Sm2+,Ru2-
SmSb,Sm3+,Sb3-
SmTe,Sm2+,Te2-
SmW,Sm2+,W2-
SmRe,Sm3+,Re3-
SmOs,Sm2+,Os2-
SmIr,Sm3+,Ir3-
SmPt,Sm2+,Pt2-
SmBi,Sm3+,Bi3-
EuC,Eu2+,C2-
EuC,Eu3+,C3-
EuN,Eu2+,N2-
EuN,Eu3+,N3-
EuO,Eu2+,O2-
EuSi,Eu2+,Si2-
EuSi,Eu3+,Si3-
EuP,Eu2+,P2-
EuP,Eu3+,P3-
EuS,Eu2+,S2-
EuCr,Eu2+,Cr2-
EuMn,Eu2+,Mn2-
EuMn,Eu3+,Mn3-
EuFe,Eu2+,Fe2-
EuGe,Eu2+,Ge2-
EuGe,Eu3+,Ge3-
EuAs,Eu3+,As3-
EuSe,Eu2+,Se2-
EuMo,Eu2+,Mo2-
EuRu,Eu2+,Ru2-
EuSb,Eu3+,Sb3-
EuTe,Eu2+,Te2-
EuW,Eu2+,W2-
EuRe,Eu3+,Re3-
EuOs,Eu2+,Os2-
EuIr,Eu3+,Ir3-
EuPt,Eu2+,Pt2-
EuBi,Eu3+,Bi3-
GdH,Gd1+,H1-
GdC,Gd1+,C1-
GdC,Gd2+,C2-
GdC,Gd3+,C3-
GdN,Gd1+,N1-
GdN,Gd2+,N2-
GdN,Gd3+,N3-
GdO,Gd1+,O1-
GdO,Gd2+,O2-
GdF,Gd1+,F1-
GdSi,Gd1+,Si1-
GdSi,Gd2+,Si2-
GdSi,Gd3+,Si3-
GdP,Gd1+,P1-
GdP,Gd2+,P2-
GdP,Gd3+,P3-
GdS,Gd1+,S1-
GdS,Gd2+,S2-
GdCl,Gd1+,Cl1-
GdTi,Gd1+,Ti1-
GdV,Gd1+,V1-
GdCr,Gd1+,Cr1-
GdCr,Gd2+,Cr2-
GdMn,Gd1+,Mn1-
GdMn,Gd2+,Mn2-
GdMn,Gd3+,Mn3-
GdFe,Gd1+,Fe1-
GdFe,Gd2+,Fe2-
GdCo,Gd1+,Co1-
GdNi,Gd1+,Ni1-
GdGe,Gd1+,Ge1-
GdGe,Gd2+,Ge2-
GdGe,Gd3+,Ge3-
GdAs,Gd3+,As3-
GdSe,Gd2+,Se2-
GdBr,Gd1+,Br1-
GdNb,Gd1+,Nb1-
GdMo,Gd1+,Mo1-
GdMo,Gd2+,Mo2-
GdRu,Gd2+,Ru2-
GdRh,Gd1+,Rh1-
GdSb,Gd3+,Sb3-
GdTe,Gd2+,Te2-
GdI,Gd1+,I1-
GdTa,Gd1+,Ta1-
GdW,Gd1+,W1-
GdW,Gd2+,W2-
GdRe,Gd1+,Re1-
GdRe,Gd3+,Re3-
GdOs,Gd1+,Os1-
GdOs,Gd2+,Os2-
GdIr,Gd1+,Ir1-
GdIr,Gd3+,Ir3-
GdPt,Gd1+,Pt1-
GdPt,Gd2+,Pt2-
GdAu,Gd1+,Au1-
GdTl,Gd1+,Tl1-
GdBi,Gd3+,Bi3-
TbH,Tb1+,H1-
TbC,Tb1+,C1-
TbC,Tb2+,C2-
TbC,Tb3+,C3-
TbC,Tb4+,C4-
TbN,Tb1+,N1-
TbN,Tb2+,N2-
TbN,Tb3+,N3-
TbO,Tb1+,O1-
TbO,Tb2+,O2-
TbF,Tb1+,F1-
TbSi,Tb1+,Si1-
TbSi,Tb2+,Si2-
TbSi,Tb3+,Si3-
TbSi,Tb4+,Si4-
TbP,Tb1+,P1-
TbP,Tb2+,P2-
TbP,Tb3+,P3-
TbS,Tb1+,S1-
TbS,Tb2+,S2-
TbCl,Tb1+,Cl1-
TbTi,Tb1+,Ti1-
TbV,Tb1+,V1-
